Rolls;IsSoldRoll;((0))
Permits;IsExportCustomers;((0))
SoldRolls;IsSoldRoll;((1))
ImportArticleDetails;CostOfOneSquareMeter;((0))
OrderMultiplePaymantTypes;PaymentFormId;((1))
CommonPaymentTypes;Code;((0))
Customers;CountOrders;((0))
AdditionalInformations;NumberOfImport;((1))
Customers;SumOfAllOrders;((0.0))
Customers;LastRecalculationDate;(getdate())
Barcodes;IsComaInWidth;((0))
Categories;IsLocalCountrySupplier;((0))
Barcodes;PositionComa;((0))
GoodsKinds;HasAdditonalInformation;((0))
Permits;IsAccountingProductReportOfOrders;((1))
VeneerDirectories;KindId;((1))
PhoneDetails;IsMain;((0))
AdditionalInformations;NumberOfRoll;((1))
LoggerBundles;OperationDateTime;(getdate())
Permits;IsChangePriceOfOrderPosition;((0))
Boads;IsSoldBoad;((0))
Permits;IsEditImportArticle;((0))
SoldBoads;IsSoldBoad;((1))
AdditionalInformations;NumberOfGoodsPallet;((1))
Orders;IsIndividualOrder;((0))
SalaryManagerConditions;IsIndividualOrder;((0))
Permits;IsIndividualOrder;((0))
Boads;PercentageOfSoldArticle;((0))
