SubPositions;PK_SubPosition;SubPositionID
SoldOtherGoods;PK_SOLDOTHERGOODS;OtherGoodsId
CityValues;PK__CityValu__480141E9D6917132;CityValueId
BinotelCustomerHistoryOfCalls;PK__BinotelC__3D55D83625E94644;BinotelCustomerHistoryOfCallId
Cities;PK__Cities__F2D21B761ED01166;CityId
Barcodes;PK_Barcode;BarcodeID
HistoryVeneerDirectoryDetails;PK__HistoryV__80365B5549599534;HistoryVeneerDirectoryDetailId
TaskValueDefinitions;PK__TaskValu__3BDE7144A1CB3ADD;TaskValueDefinitionId
CustomerBinotelCalls;PK__Customer__D4119155557E39B7;CustomerBinotelCallId
OtherGoods;PK_OTHERGOODS;OtherGoodsId
CommonPaymentTypes;PK__CommonPa__4920AB2161C893BF;CommonPaymentTypeId
ProductCatogories;PK__ProductC__BCBA6660F2E2E592;ProductCatogoryId
GradationSettings;PK_GradationSettings;GradationID
PaymentForms;PK__PaymentF__BA2F47996718A279;PaymentFormId
CustomerSegments;PK__Customer__D1603AF26269C879;CustomerSegmentId
CustomerProductCategoryItems;PK__Customer__249D3B79D2394276;CustomerProductCategoryId
CostAndPercentageOfMarkups;PK__CostAndP__146FBEF34FDF569B;CostAndPercentageOfMarkupId
Customers;PK_Cust;CustomerID
CustomerSegmentItems;PK__Customer__88284D144EC0AA5D;CustomerSegmentItemId
BinotelSyncCustomerResponseExceptions;PK__BinotelS__024291A3E214EEE2;BinotelSyncCustomerResponseExceptionId
HistoryOtherGoods;PK_HISTORYOTHERGOODS;HistoryOtherGoodsId
RelationQualitySettings;PK__Relation__405171248E1C0504;RelationQualitySettingsID
ImportArticleDetails;PK__ImportAr__93D84590E30EF5A5;ImportArticleDetailId
AddressDefinitions;PK__AddressD__5865F0B5BC2E64A8;AddressDefinitionId
BoadKinds;PK__BoadKind__7A26D22ABC740031;KindId
HistoryOtherGoodsDetails;PK_HISTORYOTHERGOODSDETAILS;OtherGoodsId
AddressDetails;PK__AddressD__CC2967FD7F956C68;AddressDetailId
Currencies;PK__Currenci__3214EC276D721BD5;ID
BoadBreeds;PK__BoadBree__D1E9AE9DE519D050;BreedId
PalletVeneerDetails;PK__PalletVe__08420A04CB1D19EB;PalletVeneerDetailId
BoadQualities;PK__BoadQual__0B22BB4E42722C35;QualityId
PhoneDetails;PK__PhoneDet__8DCBD1F2C3BD8C8C;PhoneDetailId
BoadThicknesses;PK__BoadThic__4B497DBA19366627;ThicknessId
BoadLengths;PK__BoadLeng__919B3DED35DEF880;LengthId
VeneerGradingSettings;PK__VeneerGr__522B49266C601542;VeneerGradingSettingId
CourseCurrencies;PK__CourseCu__DAF0B9E176DA858B;CourseCurrencyID
GoodsAdditionalInformations;PK__GoodsAdd__E1CFD4CD0EADF7AC;GoodsAdditionalInformationId
BoadWidths;PK__BoadWidt__5BC4C2DFF833EC09;WidthId
DirectoryMarks;PK__Director__D91828F83A9B6534;DirectoryMarkId
CompanySettings;PK__CompanyS__5B895EF977C50F97;CompanySettingId
BoadDirectories;PK__BoadDire__02E922C00E8E6C9B;BoadDirectoryId
VeneerKinds;PK__VeneerKi__29E6DB4981A16C56;VeneerKindId
BundleParentPallets;PK__BundlePa__17447B7F6943A8B7;BundleParentPalletId
LoggerBundles;PK__LoggerBu__A4F5FC44922F9C60;OperationId
Articles;PK__Articles__9C6270C8711C6F5B;ArticleID
LinkAccounting;PK__LinkAcco__54A86A12E38D1BE0;LinkAccountingID
Boads;PK__Boads__08A975750A501B1E;BoadId
HistoryBoadDirectories;PK__HistoryB__733A2AB69FB0548C;HistoryBoadDirectoryId
Managers;PK_Manager;ManagerID
Rolls;PK_Roll;RollID
CustomerStatuses;PK__Customer__7981F974B5E6DC4B;CustomerStatusId
