FK__Chronolog__CostO__308412F8;ChronologyCostOfArticles;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__Pallets__CostOfA__44C015CF;Pallets;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__SoldPalle__CostO__4890A6B3;SoldPallets;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__Rolls__CostOfArt__4C613797;Rolls;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__SoldRolls__CostO__5031C87B;SoldRolls;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__SoldOther__CostO__52050254;SoldOtherGoods;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__Boads__CostOfArt__5402595F;Boads;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__SoldBoads__CostO__57D2EA43;SoldBoads;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__OtherGood__CostO__5B8E6C8E;OtherGoods;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__HistoryOt__CostO__68E867AC;HistoryOtherGoodsDetails;CostOfArticleId;CostOfArticles;CostOfArticleId
FK__TaskValue__TaskV__3039FA35;TaskValues;TaskValueDetailId;TaskValueDetails;TaskValueDetailId
FK__RollDirec__Breed__3C4ACB5F;RollDirectories;BreedId;RollBreeds;RollBreedId
FK__HistoryRo__Breed__4C813328;HistoryRollDirectoryDetails;BreedId;RollBreeds;RollBreedId
FK__ImportVen__Sorte__36FC065D;ImportVeneerPalletBundles;SortedVeneerPalletId;SortedVeneerPallets;SortedVeneerPalletId
FK__Bundles__SortedV__38E44ECF;Bundles;SortedVeneerPalletId;SortedVeneerPallets;SortedVeneerPalletId
FK__SoldBundl__Sorte__3ACC9741;SoldBundles;SortedVeneerPalletId;SortedVeneerPallets;SortedVeneerPalletId
FK__RollDirec__Thick__3D3EEF98;RollDirectories;ThicknessId;RollThicknesses;RollThicknessId
FK__HistoryRo__Thick__4D755761;HistoryRollDirectoryDetails;ThicknessId;RollThicknesses;RollThicknessId
FK__Chronolog__Chron__3454A3DC;ChronologyCostDetails;ChronologyCostOfArticleId;ChronologyCostOfArticles;ChronologyCostOfArticleId
FK__Unblockin__Unblo__351EAAE3;UnblockingOrders;UnblockingOrderActionStateId;UnblockingOrderActionStates;UnblockingOrderActionStateId
FK__HistoryOf__Unblo__3AD78439;HistoryOfUnblockingOrders;UnblockingOrderActionStateId;UnblockingOrderActionStates;UnblockingOrderActionStateId
FK__GoodsKind__Goods__34749F6D;GoodsKindInfos;GoodsKindId;GoodsKinds;GoodsKindId
FK__GoodsDire__KindI__3DFE09A7;GoodsDirectories;KindId;GoodsKinds;GoodsKindId
FK__HistoryGo__KindI__4B5804C5;HistoryGoodsDirectoryDetails;KindId;GoodsKinds;GoodsKindId
FK__RollDirec__Basis__3F27380A;RollDirectories;BasisId;RollBasises;RollBasisId
FK__HistoryRo__Basis__4F5D9FD3;HistoryRollDirectoryDetails;BasisId;RollBasises;RollBasisId
